Lifecycle,Portal Name,Legal Name,Marketing Name,Units,Address,City,State,Zip,Phone,MSA,Email,Product Type,Rural / Urban,HUD,Lifestyle Type,Building Type,Owner,Origination Source,Development Date,Closing Date,Sold Date,Management Company,Construction - General Contractor,Intercompany Account,Project Id,Prevailing Wage,Prevailing Wage Notes,Construction Percent Complete,Construction End Date,Yardi Code
Lease-Up,Princeton Crossroads (The Starling),Princeton Crossroad Apartments  GL LP,The Starling,300,149 Princeton Crossroad,Princeton,TX,75407,469-378-0119,,starling@nrpgroup.com,PFC,,No,Multi-Family,Garden,Yes,Development,6/22/2020,12/17/2020,12/1/2023,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.49,1229,,,94.39%,11/24/2022,txstarli
Lease-Up,Red Line Station (The Exchange),Red Line GL LP,The Exchange,300,1250 Leona Street,Houston,TX,77009,281-404-3574,,theexchange@nrpgroup.com,PFC,Urban,No,Multi-Family,G-Urban,Yes,Development,2/4/2019,10/30/2019,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.30,1046,None,,100.00%,12/13/2021,txexchng
Lease-Up,Riverfront Landing II (The District),Riverfront II LLC,The District,442,1679 & 1759 Waterfront Place ,Pittsburgh ,PA,15222,412-790-5296 ,,district@nrpgroup.com ,Market,Urban,No,Multi-Family,Wrap,Yes,Development,12/19/2017,10/30/2019,10/1/2023,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.33,627,None,,98.85%,7/7/2022,paedge2
Lease-Up,Slavic Village Gateway Apartments (5115 At Rising),Slavic Village Gateway LLC ,5115 At The Rising ,88,5115 Broadway Avenue,Cleveland,OH,44127,216-523-4573,,5115@nrpgroup.com,9%,Urban,No,Multi-Family,Elevator,Yes,Development,9/10/2020,1/22/2021,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.52,1035,None,City of CLE funding- other requirements ,94.66%,6/16/2022,ohslavic
Lease-Up,SOCO II (The Martingale),South Congress IVP II Apartments LP,The Martingale,270,8100 South Congress Avenue,Austin,TX,78745,512-884-6584,,martingale@nrpgroup.com,PFC,Urban,No,Multi-Family,G-Urban,Yes,Development,12/5/2018,10/31/2019,9/1/2023,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.24,952,None,,96.91%,6/15/2022,txmartin
Lease-Up,Spillman Towns (Brisa),Spillman Ranch Homes LP,Brisa,126,4810 Brisa Way,Bee Cave,TX,78738,737-273-4880,,brisa@nrpgroup.com,Market,Suburban,No,Multi-Family,Townhouse,Yes,Development,7/30/2018,12/20/2019,9/1/2023,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.28,830,None,,100.00%,10/24/2021,txbrisa
Lease-Up,The Reserve at San Marcos,"786 Cottonwood Creek, LLC",,376,State HW 123 and Rattler Road,San Marcos,TX,78666,,,,4%,,No,Multi-Family,Garden,No,Third Party GC,5/6/2020,6/18/2020,,Unassigned,"Community Housing Resource Partners, Inc",,1163,,,96.81%,6/23/2022,
Lease-Up,Trader Flats (The Scott at Medio Creek),Traders Flats Ltd.,The Scott at Medio Creek,324,9130 Excellence Drive,San Antonio,TX,78252,726-222-9900,,ScottMedioCreek@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,12/3/2019,6/12/2020,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.36,1143,None,,100.00%,5/27/2022,txmedio
Lease-Up,Watson Road Apartments (Frontera Crossing),Watson Road Apartments Ltd. ,Fontera Crossing,348,13139 Watson Road,Von Ormy,TX,78073,726-207-4051,,fronteracrossing@nrpgroup.com,4%,,No,Multi-Family,Garden,Yes,Development,11/2/2020,4/22/2021,,NRP Management LLC,San Antonio Housing Facility Corp.,10-77-000-1162.56,1273,,,85.34%,5/15/2023,txfront 
Lease-Up,West Chester Apartments (Melton Center),Melton Center Apartments LLC,Melton Center/Miner Apartments ,51,500 E. Market Street,West Chester,PA,19382,,,,9%,Suburban,No,Multi-Family,Elevator and Single Family,No,Development,3/5/2020,12/4/2020,,Church Housing Corp. ,NRP Contractors II LLC,,1008,None,,99.12%,6/20/2022,
Lease-Up,West Dallas (Lumen),Montrose Apartments GL LP,Lumen ,367,2400 West Dallas Street,Houston,TX,77019,346-440-1515,,lumen@nrpgroup.com,PFC,,No,Multi-Family,Wrap,Yes,Development,3/2/2020,11/20/2020,11/30/2023,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.47,1136,,,70.78%,6/25/2023,txlumen
Sold,Addison at Kramer Station,,Addison at Kramer Station,388,2600 Esperanza Crossing,Austin,TX,78758,,,,Market,Suburban,No,Multi-Family,Garden,No,Development,11/17/2011,7/29/2013,7/31/2017,"Simpson Property Group, L.P.",NRP Contractors LLC,,306,None,,100.10%,9/25/2015,
Sold,Akron Student Housing (The Depot),Exchange Housing LLC,The Depot ,192,80 East Exchange Street,Akron,OH,44308,234-738-0080,,,Market,Urban,No,Student Housing,Elevator,Yes,Development,11/26/2012,4/25/2013,12/30/2016,Campus Advantage,NRP Contractors LLC,,326,None,,100.05%,,
Sold,Alamo Ranch (Thirty Oaks),Alamo Ranch Multifamily LLC,Thirty Oaks,297,11434 Culebra Road,San Antonio,TX,78253,,,ThirtyOaks@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,9/13/2012,6/14/2013,4/27/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.43,314,None,,100.00%,6/29/2014,txalamo
Sold,Alhambra,"The Alhambra Apartments, Ltd.",The Alhambra,140,7130 New Laredo Highway,San Antonio,TX,78211,210-923-8200,,thealhambra@nrpgroup.com,9%,Urban,No,Senior,Elevator,Yes,Development,8/1/2005,12/8/2006,7/8/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.44,290,None,No information leads to PW trigger.,100.00%,2/13/2008,txhambra
Sold,Belleza at Cresta Bella,Cresta Bella Apartments I Ltd.,,288,20202 Cresta Street,San Antonio,TX,78133,,,Belleza@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,No,Development,1/1/2010,12/23/2011,4/15/2016,Unassigned,NRP Contractors LLC,10-70-000-1161.20,118,,,104.74%,,
Sold,Blue Star II (The Flats at Big Tex),Big Tex River Walk LLC,The Flats at Big Tex,336,423 Blue Star Street,San Antonio,TX,78204,,,BigTex@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,Yes,Development,11/13/2012,9/19/2014,3/30/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.63,312,None,,100.00%,9/8/2016,txstar
Sold,Breakwater Bluffs (The Edison) (Old),Breakwater Bluffs LLC,The Edison at Gordon Square,306,6060 Father Caruso Drive,Cleveland,OH,44102,216-727-3787,,edisongordonsquare@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,Yes,Development,3/12/2014,12/16/2015,12/27/2019,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.68,345,None,,100.00%,7/1/2017,obreak
Sold,Brightmoor Homes II,"Brightmoor Homes II LDHA, LP","Brightmoor Homes II, III, & IV",50,23230 Fenkell Avenue,Detroit,MI,48223,,,,9%,Urban,No,Single Family,Single Family Detached,No,Development,5/23/2002,9/19/2002,9/25/2020,KMG Prestige,NRP Contractors LLC,,85,None,Data inconclusive - City of Detroit HOME funds but no loan agreement. ,109.67%,,
Sold,Brightmoor Homes III,"Brightmoor Homes III LDHA, LP",,50,23230 Fenkell Avenue,Detroit,MI,48223,,,,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,5/1/2003,8/19/2003,9/25/2020,KMG Prestige,NRP Contractors LLC,10-70-000-1161.25,86,Davis Bacon,,100.41%,,mbright3
Sold,Brooks City Base II - Demo,Brooks Development Authority,,0,Intersection of Dave Irwin Dr & N. Road,San Antonio,TX,78223,,,thekennedy@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Construction Demo Project,7/9/2014,8/21/2015,3/29/2018,NRP Management LLC,,,539,,,100.00%,12/31/2015,
Sold,Brooks II (The Kennedy),Brooks Apartments II Associates Ltd.,The Kennedy ,306,7714 Kennedy Hill Drive,San Antonio,TX,78235,,,thekennedy@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,7/9/2014,12/10/2015,3/29/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.67,413,None,,100.00%,8/19/2017,txbrook2
Sold,Bulverde (Tradehouse at Bulverde Marketplace),Bulverde Apartments LLC,Tradehouse at Bulverde Marketplace,330,17038 Bulverde Road,San Antonio,TX,78247,2109440515,,tradehouse@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,12/15/2015,12/22/2016,4/23/2020,NRP Management LLC,NRP Contractors II LLC,10-70-000-1161.81,517,,,100.00%,12/3/2018,txbulve
Sold,Cabin Branch Apartments (Axiom),Cabin Branch Apartments LLC,Axiom,272,22461 & 22551 Cabin Branch Avenue,Clarksburg,MD,20841,240-751-9198,,axiom@nrpgroup.com,Market,Suburban,No,Multi-Family,Elevator,Yes,Development,6/19/2017,11/28/2018,11/16/2021,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.08,725,,,100.00%,9/24/2020,mdcabin
Sold,Cameron Court,"Vanguard Elderly LDHA, LP",,48,8600 Cameron Court,Detroit,MI,48211,,,,9%,Urban,No,Senior,Elevator,Yes,Development,7/1/2007,2/18/2008,6/30/2020,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.87,257,None,,100.00%,,mcameron
Sold,Cardinal Pointe Apartments,"NRP Cardinal Pointe, LLC","Cardinal Pointe Phase I,II, & III",60,37 Paisley Lane,Shallotte,NC,28470,,,,9%,Rural,No,Multi-Family,Garden,Yes,Development,8/26/2002,4/1/2003,12/29/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.12,7,None,AHP funds do not trigger.,100.00%,,nccard
Sold,Cardinal Pointe Phase II Apartments,"NRP Cardinal Pointe Phase II, L.P.",Cardinal Pointe,60,37 Paisley Lane,Shallote,NC,28470,,,,9%,Rural,No,Multi-Family,Garden,Yes,Development,10/2/2003,3/12/2004,12/29/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.16,8,None,,100.00%,,nccard2
Sold,Cardinal Pointe Phase III Apartments,"Cardinal Pointe Phase III, L.P.",Cardinal Pointe,72,42 Brooks Ct,Shallote,NC,28470,,,,9%,Rural,No,Multi-Family,Garden,Yes,Development,7/7/2005,8/15/2006,12/29/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.37,9,None,NCHFA loan is STCs - no DB trigger. ,100.00%,,nccard3
Sold,Cedar Pointe (Echo),Cedar Pointe Multifamily LLC,Echo,200,3083 Herschel Avenue,Dallas,TX,75219,,,echo@nrpgroup.com,Market,Urban,No,Multi-Family,Elevator,Yes,Development,5/14/2012,1/15/2013,4/10/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.35,310,None,,100.00%,1/25/2015,txecho
Sold,Cevallos Lofts,"Cevallos Lofts, Ltd.",Cevallos Lofts,252,301 East Cevallos Street,San Antonio,TX,78204,210-598-0866,,cevallos@nrpgroup.com,PFC,Urban,No,Multi-Family,Elevator,Yes,Development,1/1/2007,4/15/2010,10/14/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.74,96,Davis Bacon,,100.14%,,txceva
Sold,Cibolo Valley Drive (Trophy Oak),Cibolo Valley Apartments LP,Trophy Oak,324,224 Broad Oak Drive ,Cibolo,TX,78108,210.864.3374,,trophyoak@nrpgroup.com,PFC,Suburban,No,Multi-Family,Garden,Yes,Development,10/29/2018,8/7/2019,8/31/2022,NRP Management LLC,"NRP Contractors II LLC, Cibolo Public Facility Corporation",10-77-000-1162.17,572,None,,100.00%,6/5/2021,txtrophy
Sold,Circle 118 Lofts,"WXZ Residential Group/Circle 118 Lofts, LLC",118 Flats - Circle,10,1683 East 118th St.,Cleveland,OH,44106,877-834-5217,,circle118@nrpgroup.com,Market,Urban,No,Multi-Family,Townhouse,No,Third Party Managed,,,7/31/2019,NRP Management LLC,,10-70-000-1161.40,357,,,100.00%,,oh118
Sold,Conner Creek Elderly II,"NDNI Elderly LDHA, LP",,48,4663 E. Outer Drive,Detroit,MI,48234,,,,9%,Urban,No,Senior,Elevator,Yes,Development,1/1/2008,10/7/2010,11/26/2019,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.05,171,None,,100.18%,,mndnield
Sold,Costa Almadena,"Costa Almadena, Ltd.",,176,6222 S. New Braunfels,San Antonio,TX,78223,210-531-9590,,costaalmadena@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,6/1/2006,11/1/2006,12/1/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.39,11,Davis Bacon,,100.00%,2/29/2008,txalma
Sold,Costa Valencia,"Costa Valencia, Ltd.",,230,6303 West US Hwy 90,San Antonio,TX,78227,210-645-7015,,costavalencia@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,7/1/2005,12/1/2005,6/28/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.32,16,None,,100.00%,,txvalen
Sold,Creekside Homes,"Creekside Homes LDHA, LP",,45,4 Cadillac Square,Detroit,MI,48226,,,,9%,,No,Single Family,Single Family Detached,No,Development,1/1/2003,,12/27/2012,KMG Prestige,NRP Contractors LLC,,117,,,101.07%,,
Sold,Cresta Bella II (Ascent Cresta Bella),Cresta Bella II LLC,Ascent Cresta Bella,322,19702 Bella Loma Drive ,San Antonio,TX,78256,,,ascentcrestabella@nrpgroup.com,Market,Suburban,No,Multi-Family,Podium,Yes,Development,7/9/2014,12/18/2015,7/31/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.78,376,None,,100.13%,1/8/2018,txcrbel2
Sold,Crestshire Village,Crestshire Village Ltd,,74,2314 N. St. Augustine Road,Dallas,TX,75227, ,,crestshire@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,No,Development,1/1/2009,8/1/2010,7/7/2020,Unassigned,NRP Contractors LLC,10-77-000-1160.73,119,Davis Bacon,,100.00%,,txcrest
Sold,Crockett Street (Old),Crockett Street Lofts Ltd. ,The Baldwin at St Paul Square,271,239 Center Street,San Antonio,TX,78205,(210) 987-2188,,thebaldwin@nrpgroup.com,PFC,Urban,No,Multi-Family,Wrap,Yes,Development,12/2/2014,5/9/2016,9/25/2019,NRP Management LLC,"San Antonio Housing Trust Public Facility Corporation , NRP Contractors II LLC",10-70-000-1161.73,429,None,,100.00%,8/12/2018,txcrock
Sold,Dayton Homes II,Dayton Homes II LLC,Dayton Homes,60,4212 E. River Road,Dayton,OH,45439,937-294-5640,,ecumenicalhomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,6/23/2003,5/24/2004,5/6/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.21,121,None,,100.72%,,odayton2
Sold,Eagle Heights I,Eagle Heights I Limited Partnership,,10,1833 Market Street,Youngstown,OH,44507,,,,9%,Suburban,No,Single Family,Single Family Detached,No,Development,1/1/2003,,7/31/2016,Jubiliee Renewal Group,,,123,None,Files inconclusive - only 10 units so should not trigger DB. City HOME funds. ,100.00%,,
Sold,Easterling Culebra Apartments (The Starling),Easterling Culebra Apartments Ltd.,The Starling,90,10148 Culebra Road,San Antonio,TX,78251,,,thestarling@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,No,Development,7/28/2016,7/21/2017,10/1/2019,"Prospera Housing & Community Services, Inc.",NRP Contractors II LLC,10-70-000-1161.88,562,None,,100.00%,9/30/2018,
Sold,Ecumenical Homes,"Dayton Homes I, LP",,49,4212 East River Road,Dayton,OH,45439,937-837-3400,,ecumenicalhomes@nrpgroup.com,4%,Urban,No,Single Family,Single Family Detached,Yes,Development,1/3/2002,12/30/2002,7/9/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.05,126,None,"Information inconclusive - $150k County Corp, $150k HDAP and $488k ENDC HOME funds. ",100.82%,,oecumen
Sold,Edison (The Equinox),The Edison LLC,The Edison Lofts,223,131 E. Davie Street,Raleigh,NC,27601,,,Edison@nrpgroup.com,Market,Urban,No,Multi-Family,Elevator,Yes,Development,4/1/2013,6/13/2014,5/26/2017,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.61,330,None,,100.00%,6/30/2016,ncedison
Sold,Edison Retail Condo,Edison Retail Partners LLC,,0,4208 Six Forks Road; Suite 1400,Raleigh,NC,28709,,,,Market,,No,Unassigned,,No,Construction Demo Project,12/31/1899,1/1/2016,5/26/2017,Unassigned,,,568,,,100.00%,,
Sold,Egret Pointe Apartments,"Egret Pointe, L.P.",Egret Pointe,64,1005 Egret Nest Circle,Winnabow,NC,28479,,,,9%,Suburban,No,Multi-Family,Garden,Yes,Development,7/7/2005,11/22/2005,12/29/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.38,21,None,,100.00%,,ncegret
Sold,Ephesus,Ephesus Homes LDHA LP,,45,4707 Conner St,Detroit,MI,48215,313-926-8509,,detroithomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,No,Development,2/20/2007,5/25/2007,8/9/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.82,22,None,,100.02%,,mephesus
Sold,Falls Pointe,"NRP Alston Village, LLC",Falls Pointe at the Park,312,100 Cascade Falls Lane,Durham,NC,27713,,,fallspointe@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,6/1/2000,12/28/2000,4/24/2018,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.11,2,None,No sources to trigger wages,130.31%,,ncfalls
Sold,Flats East Bank ,Flats East Building 4 LLC ,Flats East Bank ,241,1055 Old River Road ,Cleveland ,OH,44140,216-487-7002,,flatseastbank@nrpgroup.com,Market,Urban,No,Multi-Family,Podium,No,Third Party Managed,,,9/12/2022,NRP Management LLC,,10-77-000-1162.45,1315,,,,,oheast
Sold,Four Seasons at Kent,Kent Elderly L.P.,,54,5956 Horning Road,Kent,OH,44240,330-346-0063,,fourseasons@nrpgroup.com,9%,Rural,No,Senior,Elevator,Yes,Development,7/1/1999,11/1/2000,4/21/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.02,30,None,$600k HDAP for 7 HOME units; $70k from City - does not seem to trigger DB,43.74%,,oknt
Sold,Gateway Park,"NRP Gateway Park, LP",,84,710 Gatewaypark Drive,Raleigh,NC,27601,,,,4%,Urban,No,Multi-Family,Garden,Yes,Development,1/15/2004,6/29/2004,10/4/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.18,23,None,City of Raleigh loan in amount of $1.3M - documents inconclusive on wages.,100.00%,,ncgate
Sold,Grand at the Dominion,BR Grand Dominion Leaseco LLC,Grand at the Dominion,320,23910 West Interstate 10 ,San Antonio,TX,78257,210-824-1640,,granddominion@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,No,Third Party Managed,12/31/1899,,8/8/2022,NRP Management LLC,,10-77-000-1161.90,768,,,100.00%,,txgrand
Sold,Hazel 8,WXZ Residential Group/Hazel LLC,,59,1608 Hazel Drive,Cleveland,OH,44106,216-862-4341,,Hazel8@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,No,Third Party Managed,,,7/31/2019,NRP Management LLC,,10-70-000-1161.21,316,,,100.00%,,ohhaze8
Sold,Heritage Oaks,Heritage Oaks,Heritage Oaks at Brooks,163,216 Claggett,San Antonio,TX,78235,,,HeritageOaks@nrpgroup.com,4%,Suburban,No,Single Family,Single Family Detached,No,Third Party Managed,1/1/2011,5/31/2011,1/31/2022,NRP Management LLC,,10-77-000-1160.99,256,,,100.00%,,txbrooks
Sold,Largo Metro Station (Everly),Largo Metro Apartments LLC ,Everly,260,97 Capital Court,Upper Marlboro,MD,20774,240-788-4277,,everly@nrpgroup.com,Market,Suburban,No,Multi-Family,Elevator,Yes,Development,4/24/2018,10/3/2019,3/8/2022,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.35,798,,,100.00%,7/23/2021,mdeverly
Sold,Lewisville Apartments (Norra),CRP/NRP Lewisville Owner LP,Norra,347,1801 Summit Avenue,Lewisville,TX,75077,972-829-3110,,norra@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,5/25/2018,6/28/2019,9/21/2021,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.16,745,,,100.00%,6/23/2021,txnorra
Sold,Longhorn Quarry (The Upton at Longhorn Quarry),Wurzbach Thousand Oaks Longhorn Quarry Ltd.,The Upton at Longhorn Quarry,306,4906 Wurzbach Pkwy ,San Antonio,TX,78233,,,theupton@nrpgroup.com,PFC,Suburban,No,Multi-Family,Garden,Yes,Development,12/2/2014,3/1/2016,6/20/2019,NRP Management LLC,"NRP Contractors II LLC, San Antonio Housing Trust Public Facility Corporation ",10-70-000-1161.69,437,None,,100.00%,11/16/2017,txupton
Sold,Magnolia Pointe - Bond,"Magnolia Pointe, L.P.",Magnolia Pointe I & II,156,4801 Danube Lane,Durham,NC,27704,,,magnoliapointe@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,6/21/2004,12/1/2005,3/29/2019,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.30,32,None,,100.01%,,ncmagpt
Sold,Magnolia Pointe - Conventional,"NRP Magnolia Pointe Apartments, LLC",Magnolia Pointe,110,4801 Danube Lane,Durham,NC,27704,,,magnoliapointe@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,Yes,Development,6/1/2004,4/11/2006,3/29/2019,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.31,33,,,0.00%,,ncmagpt2
Sold,Mansfield Lofts (Main Street Lofts),Main Street Mansfield Lofts LLC,Main Street Lofts,314,751 N Main Street,Mansfield,TX,76063,,,mainstlofts@nrpgroup.com,Market,Suburban,No,Multi-Family,Garden,Yes,Development,4/28/2015,5/27/2016,5/23/2019,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.75,497,,,100.00%,3/26/2018,txmain
Sold,MLK Homes,"MLK Homes LDHA, LP",,45,4707 Connor St,Detroit,MI,48215,313-926-8509,,DetroitHomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,6/3/2004,9/28/2004,8/6/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.80,167,None,,100.66%,,mmlk
Sold,Montabella II (Foster Road) (Viridian) (Old),Foster Road GL LP,Viridian,321,5415 North Foster Road,San Antonio,TX,78244,2108741177,,viridian@nrpgroup.com,PFC,Urban,No,Multi-Family,Garden,Yes,Development,12/3/2015,9/7/2017,2/20/2020,Unassigned,NRP Contractors II LLC,10-70-000-1161.92,538,None,,100.00%,6/26/2019,txvirid
Sold,Morehead Apartments (Loft 135),"CUOF IV Quarters at Morehead, LLC",Loft 135,298,135 W. Morehead St.,Charlotte ,NC,28202,,,Loft135@nrpgroup.com,Market,Urban,No,Multi-Family,Podium,No,Development,11/1/2012,2/18/2014,1/23/2017,Unassigned,NRP Contractors LLC,10-70-000-1161.56,325,None,,100.00%,5/6/2016,
Sold,New Dayton Homes I,New Dayton Homes I LLC,,40,4212 E. River Road,Dayton,OH,45439,937-294-5640,,ecumenicalhomes@nrpgroup.com,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,7/8/2005,2/24/2006,5/6/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.67,172,None,,100.40%,,onewday
Sold,Nortown Homes II,"Nortown Homes II LDHA, LP",,45,4777 East Outer Drive,Detroit,MI,48234,,,,9%,Urban,No,Single Family,Single Family Detached,Yes,Development,7/7/2004,9/24/2004,1/18/2022,KMG Prestige,,10-77-000-1160.84,184,,,98.17%,,mnortow2
Sold,Oval 118 Lofts,"118 Development, LLC",,32,1601 E. 118th St.,Cleveland,OH,44106,,,,Market,,No,Multi-Family,Townhouse,No,Third Party Managed,,,7/31/2019,NRP Management LLC,,10-70-000-1161.47,551,,,100.00%,,ohflats
Sold,Parkwood (The Parkwood),Parkwood Residences LLC,The Parkwood,309,1700 North Brevard Street,Charlotte,NC,28206,,,,Market,Urban,No,Multi-Family,Wrap,Yes,Development,2/17/2016,4/26/2017,7/23/2020,NRP Management LLC,NRP Contractors II LLC,10-70-000-1161.85,530,None,,100.00%,10/14/2019,ncparkwo
Sold,Parmer & Ranch Trails,Parmer Lane Joint Venture LLC,Latitude at Presidio,337,3440 Ranch Trails,Cedar Park,TX,78613,,,latitude@nrpgroup.com,Market,Suburban,No,Multi-Family,Elevator,Yes,Development,3/24/2015,6/10/2016,7/31/2018,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.84,430,None,,100.00%,4/27/2018,txpresid
Sold,Parmer & Ranch Trails (Shared Work),Parmer Lane Joint Venture LLC,Parmer Lane Apartments ,0,Intersection of Parmer Lane & Ranch Trails,Cedar Park,TX,78613,,,,Market,Suburban,No,Multi-Family,Elevator,Yes,Construction Demo Project,3/24/2015,6/10/2016,7/31/2018,Unassigned,,,595,,,100.00%,4/18/2018,
Sold,Playa del Pueblo,Playa Del Pueblo Ltd.,,96,611 E. Interstate Highway 20,Midland,TX,79701,,,,9%,Urban,No,Multi-Family,Garden,No,Development,8/9/2011,7/27/2012,4/23/2015,Alpha Barnes,NRP Contractors LLC,10-70-000-1161.34,301,None,,99.90%,,
Sold,Preston Pointe at Brownstown,"Preston Pointe Limited Dividend Housing Association, LP",,144,27615  Burnham Blvd,Brownstown,MI,48183,734-692-1563,,prestonpointebrownstown@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,1/1/2004,9/7/2004,4/21/2022,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.15,5,None,TEAM loan from MSHDA - wages inconclusive. ,100.11%,,mbrown
Sold,Preston Pointe at Inverness,"Inverness Centre Apartments, LP",,192,8075 Preston Pointe,Fort Wayne,IN,46804,,,prestonpointeinverness@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,2/1/2002,8/1/2002,4/1/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.04,28,None,No funding to trigger.,100.00%,,ipp
Sold,Preston Pointe at Shannon Glen,"Shannon Glen Apartments, L.P.",,210,5800 Shannon Road,Canal Winchester,OH,43110,,,prestonpointeshannonglen@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,2/1/2003,10/1/2003,7/30/2019,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.14,44,None,,100.04%,,oshglen
Sold,Red Berry Apartments (The Salado at Red Berry) Old,Red Berry GL LP,The Salado at Red Berry,330,902 Gembler Road,San Antonio,TX,78219,2106254005,,thesalado@nrpgroup.com,PFC,Suburban,No,Multi-Family,Garden,Yes,Development,12/20/2017,10/24/2018,4/30/2021,NRP Management LLC,San Antonio Housing Trust Public Facility Corporation ,10-70-000-1162.12,438,None,,100.00%,7/28/2020,txberry
Sold,Reserve I at Las Brisas,"Reserve I NRP, LTD",,261,4323 North Shore Drive,Irving,TX,75038,214-492-2400,,thereserve@nrpgroup.com,Market,Urban,No,Multi-Family,Garden,Yes,Development,2/1/2005,9/21/2005,8/7/2017,Unassigned,,10-77-000-1160.26,37,None,,100.00%,,
Sold,Reserve II at Las Brisas,"Reserve II Partners, LTD.",,180,4323 North Shore Drive,Irving,TX,75038,214-492-2400,,reserve2@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,Yes,Development,9/11/2003,6/10/2004,8/7/2017,Unassigned,NRP Contractors LLC,10-77-000-1160.22,38,None,,99.84%,,
Sold,Riverfront Landing (Edge 1909) (Old),Riverfront Residences LLC,Edge 1909,364,1909 Waterfront Place,Pittsburgh,PA,15222,412-420-6950,,edge1909@nrpgroup.com,Market,Urban,No,Multi-Family,Wrap,No,Development,6/2/2015,7/22/2016,12/13/2019,NRP Management LLC,NRP Contractors LLC,10-70-000-1161.76,470,None,,100.01%,10/23/2018,pariver
